TrialNr;Latency;Subject;System
1;1925;subject_0001;Tobii
2;1150;subject_0001;Tobii
3;1325;subject_0001;Tobii
4;1050;subject_0001;Tobii
5;1125;subject_0001;Tobii
6;1150;subject_0001;Tobii
7;1325;subject_0001;Tobii
8;1025;subject_0001;Tobii
9;950;subject_0001;Tobii
10;975;subject_0001;Tobii
11;1075;subject_0001;Tobii
12;1025;subject_0001;Tobii
13;2750;subject_0001;Tobii
14;975;subject_0001;Tobii
15;1525;subject_0001;Tobii
16;925;subject_0001;Tobii
17;950;subject_0001;Tobii
18;925;subject_0001;Tobii
19;850;subject_0001;Tobii
20;925;subject_0001;Tobii
21;1000;subject_0001;Tobii
22;1025;subject_0001;Tobii
23;1000;subject_0001;Tobii
24;850;subject_0001;Tobii
25;875;subject_0001;Tobii
26;1000;subject_0001;Tobii
27;900;subject_0001;Tobii
28;975;subject_0001;Tobii
29;1000;subject_0001;Tobii
30;850;subject_0001;Tobii
1;2450;subject_0002;Tobii
2;1125;subject_0002;Tobii
3;1675;subject_0002;Tobii
4;1700;subject_0002;Tobii
5;1425;subject_0002;Tobii
6;1200;subject_0002;Tobii
7;1875;subject_0002;Tobii
8;1500;subject_0002;Tobii
9;975;subject_0002;Tobii
10;1825;subject_0002;Tobii
11;1200;subject_0002;Tobii
12;1650;subject_0002;Tobii
13;1725;subject_0002;Tobii
14;1425;subject_0002;Tobii
15;1100;subject_0002;Tobii
16;1075;subject_0002;Tobii
17;1250;subject_0002;Tobii
18;1375;subject_0002;Tobii
19;1850;subject_0002;Tobii
20;1100;subject_0002;Tobii
21;1675;subject_0002;Tobii
22;1700;subject_0002;Tobii
23;1275;subject_0002;Tobii
24;1375;subject_0002;Tobii
25;1425;subject_0002;Tobii
26;1800;subject_0002;Tobii
27;1850;subject_0002;Tobii
28;1375;subject_0002;Tobii
29;1000;subject_0002;Tobii
30;1500;subject_0002;Tobii
1;3175;subject_0003;Tobii
2;2300;subject_0003;Tobii
3;1700;subject_0003;Tobii
4;1775;subject_0003;Tobii
5;1200;subject_0003;Tobii
6;1450;subject_0003;Tobii
7;2125;subject_0003;Tobii
8;1425;subject_0003;Tobii
9;1575;subject_0003;Tobii
10;4000;subject_0003;Tobii
11;925;subject_0003;Tobii
12;1300;subject_0003;Tobii
13;1550;subject_0003;Tobii
14;1325;subject_0003;Tobii
15;1650;subject_0003;Tobii
16;1150;subject_0003;Tobii
17;925;subject_0003;Tobii
18;1025;subject_0003;Tobii
19;875;subject_0003;Tobii
20;1775;subject_0003;Tobii
21;1725;subject_0003;Tobii
22;1100;subject_0003;Tobii
23;1450;subject_0003;Tobii
24;2425;subject_0003;Tobii
25;1675;subject_0003;Tobii
26;1875;subject_0003;Tobii
27;1275;subject_0003;Tobii
28;1325;subject_0003;Tobii
29;2425;subject_0003;Tobii
30;2250;subject_0003;Tobii
1;3025;subject_0004;Tobii
2;1725;subject_0004;Tobii
3;1275;subject_0004;Tobii
4;975;subject_0004;Tobii
5;2300;subject_0004;Tobii
6;1150;subject_0004;Tobii
7;1700;subject_0004;Tobii
8;2100;subject_0004;Tobii
9;2375;subject_0004;Tobii
10;2225;subject_0004;Tobii
11;2175;subject_0004;Tobii
12;1375;subject_0004;Tobii
13;1200;subject_0004;Tobii
14;925;subject_0004;Tobii
15;875;subject_0004;Tobii
16;1475;subject_0004;Tobii
17;3150;subject_0004;Tobii
18;950;subject_0004;Tobii
19;1050;subject_0004;Tobii
20;1000;subject_0004;Tobii
21;1125;subject_0004;Tobii
22;650;subject_0004;Tobii
