TrialNr;Amplitude;Subject;System
1;-2.6304550641;subject_0001;Tobii
2;-2.6829090621;subject_0001;Tobii
3;-1.5969055982;subject_0001;Tobii
4;-3.3259186445;subject_0001;Tobii
5;-2.5393026908;subject_0001;Tobii
6;-2.5316476762;subject_0001;Tobii
7;-2.6104521059;subject_0001;Tobii
8;-3.3053491592;subject_0001;Tobii
9;-2.2008672508;subject_0001;Tobii
10;-2.7411780897;subject_0001;Tobii
11;-2.4177291482;subject_0001;Tobii
12;-2.7033728441;subject_0001;Tobii
13;-2.7180381019;subject_0001;Tobii
14;-1.881066158;subject_0001;Tobii
15;-3.0527996165;subject_0001;Tobii
16;-2.2987369651;subject_0001;Tobii
17;-2.7947168915;subject_0001;Tobii
18;-2.7265956245;subject_0001;Tobii
19;-2.8464969304;subject_0001;Tobii
20;-2.4742342365;subject_0001;Tobii
21;-2.7654551188;subject_0001;Tobii
22;-2.6139597014;subject_0001;Tobii
23;-2.6167338634;subject_0001;Tobii
24;-2.5459124719;subject_0001;Tobii
25;-1.9761193696;subject_0001;Tobii
26;-2.2508031401;subject_0001;Tobii
27;-2.9454558523;subject_0001;Tobii
28;-2.7357766705;subject_0001;Tobii
29;-2.4904822544;subject_0001;Tobii
30;-2.4344558136;subject_0001;Tobii
1;-2.9236785066;subject_0002;Tobii
2;-2.2206086923;subject_0002;Tobii
3;-2.6682158454;subject_0002;Tobii
4;-2.2429511443;subject_0002;Tobii
5;-2.2311220261;subject_0002;Tobii
6;-2.790985829;subject_0002;Tobii
7;-2.4507828141;subject_0002;Tobii
8;-2.6509815187;subject_0002;Tobii
9;-3.0156246656;subject_0002;Tobii
10;-1.4748261953;subject_0002;Tobii
11;-1.2465760086;subject_0002;Tobii
12;-3.0765856773;subject_0002;Tobii
13;-1.8704263359;subject_0002;Tobii
14;-1.7868605418;subject_0002;Tobii
15;-2.746228098;subject_0002;Tobii
16;-2.5833998487;subject_0002;Tobii
17;-2.4841044617;subject_0002;Tobii
18;-2.790741541;subject_0002;Tobii
19;-2.3270575843;subject_0002;Tobii
20;-2.7728882211;subject_0002;Tobii
21;-3.1586279321;subject_0002;Tobii
22;-2.7904432364;subject_0002;Tobii
23;-2.6156125235;subject_0002;Tobii
24;-1.7193607837;subject_0002;Tobii
25;-2.7323218227;subject_0002;Tobii
26;-3.2504336817;subject_0002;Tobii
27;-2.0054469463;subject_0002;Tobii
28;-2.7867321165;subject_0002;Tobii
29;-2.6236398701;subject_0002;Tobii
30;-2.8501348235;subject_0002;Tobii
1;-3.1003918751;subject_0003;Tobii
2;-3.0148655109;subject_0003;Tobii
3;-2.3346271621;subject_0003;Tobii
4;-2.4880464941;subject_0003;Tobii
5;-2.6804338038;subject_0003;Tobii
6;-1.9518742284;subject_0003;Tobii
7;-2.8980034955;subject_0003;Tobii
8;-2.8030337299;subject_0003;Tobii
9;-1.9395752617;subject_0003;Tobii
10;-3.575505615;subject_0003;Tobii
11;-1.8972210986;subject_0003;Tobii
12;-2.7311009368;subject_0003;Tobii
13;-2.6343259627;subject_0003;Tobii
14;-1.8627210899;subject_0003;Tobii
15;-2.6517335358;subject_0003;Tobii
16;-3.0801229354;subject_0003;Tobii
17;-1.6287214526;subject_0003;Tobii
18;-1.8145519492;subject_0003;Tobii
19;-2.3384101178;subject_0003;Tobii
20;-2.0674458093;subject_0003;Tobii
21;-2.5052848633;subject_0003;Tobii
22;-2.4021525867;subject_0003;Tobii
23;-2.6923121935;subject_0003;Tobii
24;-2.659690127;subject_0003;Tobii
25;-2.59954178;subject_0003;Tobii
26;-2.458621413;subject_0003;Tobii
27;-1.8342914588;subject_0003;Tobii
28;-2.4769760431;subject_0003;Tobii
29;-3.2985836163;subject_0003;Tobii
30;-2.8235292942;subject_0003;Tobii
1;-3.1848278148;subject_0004;Tobii
2;-2.7578939806;subject_0004;Tobii
3;-2.5831002241;subject_0004;Tobii
4;-2.757817351;subject_0004;Tobii
5;-2.9575336268;subject_0004;Tobii
6;-2.5986214792;subject_0004;Tobii
7;-3.0940930982;subject_0004;Tobii
8;-2.5682621051;subject_0004;Tobii
9;-2.6511412694;subject_0004;Tobii
10;-2.8547431047;subject_0004;Tobii
11;-3.4079732876;subject_0004;Tobii
12;-2.455258088;subject_0004;Tobii
13;-2.9046008464;subject_0004;Tobii
14;-3.1489397007;subject_0004;Tobii
15;-2.4442192459;subject_0004;Tobii
16;-2.7754882097;subject_0004;Tobii
17;-2.7073205831;subject_0004;Tobii
18;-3.2575469617;subject_0004;Tobii
19;-1.9160548048;subject_0004;Tobii
20;-3.0242227188;subject_0004;Tobii
21;-2.2049412867;subject_0004;Tobii
22;-2.8132981889;subject_0004;Tobii
23;-2.4352825477;subject_0004;Tobii
24;-3.0464553633;subject_0004;Tobii
25;-2.7715813924;subject_0004;Tobii
26;-2.5539852375;subject_0004;Tobii
27;-2.6429112424;subject_0004;Tobii
28;-2.9278168817;subject_0004;Tobii
29;-3.1437200562;subject_0004;Tobii
30;-1.6505447937;subject_0004;Tobii
1;-2.7781318487;subject_0005;Tobii
2;-3.2547927412;subject_0005;Tobii
3;-2.3407827467;subject_0005;Tobii
4;-2.8463322006;subject_0005;Tobii
5;-2.8326730477;subject_0005;Tobii
6;-2.6992372611;subject_0005;Tobii
7;-2.5556894839;subject_0005;Tobii
8;-2.5655014979;subject_0005;Tobii
9;-2.405195314;subject_0005;Tobii
10;-3.1189917111;subject_0005;Tobii
11;-2.7634679857;subject_0005;Tobii
12;-2.1417595356;subject_0005;Tobii
13;-2.7367621505;subject_0005;Tobii
14;-2.5755309989;subject_0005;Tobii
15;-2.6953891894;subject_0005;Tobii
16;-2.6394593909;subject_0005;Tobii
17;-2.5458265316;subject_0005;Tobii
18;-2.6082824175;subject_0005;Tobii
19;-2.59345634;subject_0005;Tobii
20;-2.9174526725;subject_0005;Tobii
21;-2.8197224501;subject_0005;Tobii
22;-2.6924475748;subject_0005;Tobii
23;-2.0534984465;subject_0005;Tobii
24;-2.422969766;subject_0005;Tobii
25;-2.8347029477;subject_0005;Tobii
26;-2.3872844377;subject_0005;Tobii
27;-3.313975503;subject_0005;Tobii
28;-2.1333868506;subject_0005;Tobii
29;-2.9215370282;subject_0005;Tobii
30;-2.5803935174;subject_0005;Tobii
1;-2.9828299954;subject_0006;Tobii
2;-2.5147893027;subject_0006;Tobii
3;-2.6367324773;subject_0006;Tobii
4;-3.0960478767;subject_0006;Tobii
5;-2.2383151306;subject_0006;Tobii
6;-3.0189945251;subject_0006;Tobii
7;-1.9469292462;subject_0006;Tobii
8;-2.7045991626;subject_0006;Tobii
9;-3.1976787699;subject_0006;Tobii
10;-2.0884130073;subject_0006;Tobii
11;-2.3029803696;subject_0006;Tobii
12;-2.5411393004;subject_0006;Tobii
13;-2.5383190762;subject_0006;Tobii
14;-2.8208638928;subject_0006;Tobii
15;-2.7761288695;subject_0006;Tobii
16;-3.010360838;subject_0006;Tobii
17;-1.8996817494;subject_0006;Tobii
18;-2.5677418018;subject_0006;Tobii
19;-3.0583895722;subject_0006;Tobii
20;-2.2904015018;subject_0006;Tobii
21;-2.8618393915;subject_0006;Tobii
22;-2.0299551066;subject_0006;Tobii
23;-2.6492970759;subject_0006;Tobii
24;-2.5621503244;subject_0006;Tobii
25;-2.8163659904;subject_0006;Tobii
26;-2.6201822669;subject_0006;Tobii
27;-3.0432062862;subject_0006;Tobii
28;-1.7512198346;subject_0006;Tobii
29;-2.9754039243;subject_0006;Tobii
30;-2.9814039719;subject_0006;Tobii
1;-2.6298812715;subject_0001;PupilEXT
2;-2.6034441329;subject_0001;PupilEXT
3;-1.5628837082;subject_0001;PupilEXT
4;-3.3098877689;subject_0001;PupilEXT
5;-2.4534062306;subject_0001;PupilEXT
6;-2.45888375;subject_0001;PupilEXT
7;-2.5067506913;subject_0001;PupilEXT
8;-3.2456122459;subject_0001;PupilEXT
9;-2.1271563235;subject_0001;PupilEXT
10;-2.6824976831;subject_0001;PupilEXT
11;-2.5270204886;subject_0001;PupilEXT
12;-2.7439726089;subject_0001;PupilEXT
13;-2.3707194126;subject_0001;PupilEXT
14;-1.6523532582;subject_0001;PupilEXT
15;-3.0231668405;subject_0001;PupilEXT
16;-2.3714780664;subject_0001;PupilEXT
17;-2.7890471342;subject_0001;PupilEXT
18;-2.6774301479;subject_0001;PupilEXT
19;-2.8641827719;subject_0001;PupilEXT
20;-2.5053090628;subject_0001;PupilEXT
21;-2.8533611559;subject_0001;PupilEXT
22;-2.6707706295;subject_0001;PupilEXT
23;-2.6556098192;subject_0001;PupilEXT
24;-2.6777425115;subject_0001;PupilEXT
25;-2.1260668498;subject_0001;PupilEXT
26;-2.3394250537;subject_0001;PupilEXT
27;-2.9574485284;subject_0001;PupilEXT
