timestamp_ms,pupilDiameter_px_L_M,pupilUndistortedDiameter_px_L_M,pupilPhysicalDiameter_mm_L_M,pupilWidth_px_L_M,pupilHeight_px_L_M,pupilAxisRatio_L_M,pupilCenterX_px_L_M,pupilCenterY_px_L_M,pupilAngle_deg_L_M,pupilCircumference_px_L_M,pupilConfidence_L_M,pupilOutlineConfidence_L_M,BRISQUEFullImage_L_M,BRISQUEPDROI_L_M,trial,message,cameraTemperature_c_M,cameraTemperature_c_S
1766057309173,21.2334,-1,-1,15.0421,21.2334,1.4116,145.695,151.701,90.9703,57.397,0.0625,0.0625,-1,-1,1,,-1,-1
1766057309197,27.868,-1,-1,13.4156,27.868,2.07729,235.483,143.105,114.894,66.8503,0.235294,0.147059,-1,-1,1,,-1,-1
1766057309222,47.7859,-1,-1,13.7571,47.7859,3.47355,211.235,113.003,93.0942,104.207,0.242424,0.181818,-1,-1,1,,-1,-1
1766057309247,41.3885,-1,-1,39.5562,41.3885,1.04632,194.991,100.171,105.245,127.164,0.888889,0.888889,-1,-1,1,,-1,-1
1766057309272,39.1622,-1,-1,32.0091,39.1622,1.22347,199.01,103.177,35.8596,112.078,0.625,0.625,-1,-1,1,,-1,-1
1766057309297,42.4074,-1,-1,39.5861,42.4074,1.07127,195.323,102.238,73.9109,128.833,0.914286,0.914286,-1,-1,1,,-1,-1
1766057309322,43.8655,-1,-1,40.6651,43.8655,1.0787,194.707,102.271,91.5216,132.828,0.911765,0.911765,-1,-1,1,,-1,-1
1766057309347,43.856,-1,-1,40.6148,43.856,1.0798,194.638,102.663,91.7355,132.735,0.911765,0.911765,-1,-1,1,,-1,-1
1766057309372,44.2004,-1,-1,41.2848,44.2004,1.07062,194.47,103.147,76.2349,134.319,0.916667,0.916667,-1,-1,1,,-1,-1
1766057309397,44.1981,-1,-1,41.2378,44.1981,1.07178,194.641,103.008,81.9449,134.243,0.909091,0.909091,-1,-1,1,,-1,-1
1766057309422,44.5011,-1,-1,41.3652,44.5011,1.07581,194.422,102.991,75.3434,134.923,0.916667,0.916667,-1,-1,1,,-1,-1
1766057309447,44.0995,-1,-1,41.3577,44.0995,1.06629,194.952,102.487,81.4487,134.27,0.914286,0.914286,-1,-1,1,,-1,-1
1766057309472,44.5453,-1,-1,41.1137,44.5453,1.08347,195.265,102.782,80.4391,134.607,0.911765,0.911765,-1,-1,1,,-1,-1
1766057309497,44.2244,-1,-1,41.2983,44.2244,1.07085,195.951,102.732,84.5551,134.378,0.888889,0.888889,-1,-1,1,,-1,-1
1766057309522,44.5593,-1,-1,41.4479,44.5593,1.07507,195.873,102.71,82.9306,135.144,0.885714,0.885714,-1,-1,1,,-1,-1
1766057309547,44.5597,-1,-1,41.1563,44.5597,1.08269,196.11,102.526,90.0362,134.695,0.90625,0.90625,-1,-1,1,,-1,-1
1766057309572,44.5869,-1,-1,41.7716,44.5869,1.0674,198.166,103.501,91.7239,135.688,0.911765,0.911765,-1,-1,1,,-1,-1
1766057309597,44.2602,-1,-1,41.6237,44.2602,1.06334,198.068,103.267,93.4302,134.938,0.916667,0.916667,-1,-1,1,,-1,-1
1766057309622,44.6883,-1,-1,41.8053,44.6883,1.06896,197.949,103.266,83.3105,135.902,0.916667,0.916667,-1,-1,1,,-1,-1
1766057309647,44.058,-1,-1,41.6063,44.058,1.05893,197.961,103.297,89.1575,134.589,0.909091,0.909091,-1,-1,1,,-1,-1
1766057309672,44.0241,-1,-1,41.8016,44.0241,1.05317,197.988,103.939,84.9146,134.837,0.916667,0.916667,-1,-1,1,,-1,-1
1766057309697,43.8891,-1,-1,41.6329,43.8891,1.05419,198.056,104.059,96.057,134.361,0.916667,0.916667,-1,-1,1,,-1,-1
1766057309722,44.0275,-1,-1,41.4973,44.0275,1.06097,197.931,104.264,88.2955,134.371,0.916667,0.916667,-1,-1,1,,-1,-1
1766057309747,43.6716,-1,-1,41.1114,43.6716,1.06228,198.26,104.326,94.5702,133.207,0.916667,0.916667,-1,-1,1,,-1,-1
1766057309772,43.9904,-1,-1,41.4473,43.9904,1.06136,194.052,104.453,70.1224,134.235,0.909091,0.909091,-1,-1,1,,-1,-1
1766057309797,44.2201,-1,-1,41.2673,44.2201,1.07155,194.211,104.564,74.4169,134.323,0.916667,0.916667,-1,-1,1,,-1,-1
1766057309821,44.3494,-1,-1,41.5007,44.3494,1.06864,194.242,105,71.0277,134.89,0.941176,0.941176,-1,-1,1,,-1,-1
1766057309846,43.7356,-1,-1,41.7099,43.7356,1.04857,194.427,104.933,74.3709,134.236,0.916667,0.916667,-1,-1,1,,-1,-1
1766057309871,44.4133,-1,-1,41.6168,44.4133,1.0672,194.524,104.578,68.6243,135.171,0.914286,0.914286,-1,-1,1,,-1,-1
1766057309896,44.7201,-1,-1,41.2523,44.7201,1.08406,194.403,104.219,73.5393,135.1,0.942857,0.942857,-1,-1,1,,-1,-1
1766057309921,44.209,-1,-1,41.9177,44.209,1.05466,193.965,104.379,73.636,135.311,0.942857,0.942857,-1,-1,1,,-1,-1
1766057309946,44.518,-1,-1,41.7279,44.518,1.06686,193.476,104.613,73.1536,135.51,0.914286,0.885714,-1,-1,1,,-1,-1
1766057309971,44.8547,-1,-1,41.8958,44.8547,1.07062,193.001,104.555,71.3724,136.307,0.914286,0.914286,-1,-1,1,,-1,-1
1766057309996,44.5283,-1,-1,41.4734,44.5283,1.07366,196.197,103.264,91.5371,135.134,0.911765,0.911765,-1,-1,1,,-1,-1
1766057310021,44.6632,-1,-1,41.8407,44.6632,1.06746,196.138,102.834,91.5056,135.916,0.911765,0.911765,-1,-1,1,,-1,-1
1766057310046,44.9764,-1,-1,42.2368,44.9764,1.06486,196.068,103.181,74.9967,137.028,0.916667,0.916667,-1,-1,1,,-1,-1
